"From","To","Co-occurance"
"Management","Management",0
"Jewelry","Management",1
"Macy.s.Card","Management",2
"Returns","Management",0
"Location","Management",0
"Shoes","Management",1
"Customer.Service","Management",2
"Associate","Management",0
"Purse","Management",0
"Delivery","Management",1
"Website","Management",0
"Display","Management",0
"Fashion","Management",0
"Dillard.s","Management",0
"Kohl.s","Management",0
"Register","Management",0
"Time","Management",1
"Deal","Management",3
"Quality","Management",0
"Clothing","Management",0
"Clean","Management",0
"Cosmetics","Management",0
"Price","Management",0
"Women","Management",0
"Men","Management",1
"Bedding","Management",0
"Wedding","Management",0
"Mattress","Management",0
"Bathroom","Management",0
"Lamps","Management",0
"Watches","Management",1
"Furniture","Management",1
"Management","Jewelry",1
"Jewelry","Jewelry",0
"Macy.s.Card","Jewelry",1
"Returns","Jewelry",0
"Location","Jewelry",0
"Shoes","Jewelry",1
"Customer.Service","Jewelry",4
"Associate","Jewelry",4
"Purse","Jewelry",0
"Delivery","Jewelry",0
"Website","Jewelry",1
"Display","Jewelry",0
"Fashion","Jewelry",0
"Dillard.s","Jewelry",0
"Kohl.s","Jewelry",0
"Register","Jewelry",0
"Time","Jewelry",3
"Deal","Jewelry",4
"Quality","Jewelry",0
"Clothing","Jewelry",1
"Clean","Jewelry",0
"Cosmetics","Jewelry",0
"Price","Jewelry",0
"Women","Jewelry",1
"Men","Jewelry",0
"Bedding","Jewelry",0
"Wedding","Jewelry",0
"Mattress","Jewelry",0
"Bathroom","Jewelry",0
"Lamps","Jewelry",0
"Watches","Jewelry",1
"Furniture","Jewelry",0
"Management","Macy.s.Card",2
"Jewelry","Macy.s.Card",1
"Macy.s.Card","Macy.s.Card",0
"Returns","Macy.s.Card",0
"Location","Macy.s.Card",3
"Shoes","Macy.s.Card",1
"Customer.Service","Macy.s.Card",3
"Associate","Macy.s.Card",2
"Purse","Macy.s.Card",0
"Delivery","Macy.s.Card",1
"Website","Macy.s.Card",0
"Display","Macy.s.Card",0
"Fashion","Macy.s.Card",0
"Dillard.s","Macy.s.Card",0
"Kohl.s","Macy.s.Card",0
"Register","Macy.s.Card",1
"Time","Macy.s.Card",3
"Deal","Macy.s.Card",9
"Quality","Macy.s.Card",0
"Clothing","Macy.s.Card",0
"Clean","Macy.s.Card",0
"Cosmetics","Macy.s.Card",1
"Price","Macy.s.Card",0
"Women","Macy.s.Card",0
"Men","Macy.s.Card",1
"Bedding","Macy.s.Card",1
"Wedding","Macy.s.Card",0
"Mattress","Macy.s.Card",0
"Bathroom","Macy.s.Card",0
"Lamps","Macy.s.Card",0
"Watches","Macy.s.Card",0
"Furniture","Macy.s.Card",1
"Management","Returns",0
"Jewelry","Returns",0
"Macy.s.Card","Returns",0
"Returns","Returns",0
"Location","Returns",0
"Shoes","Returns",0
"Customer.Service","Returns",0
"Associate","Returns",0
"Purse","Returns",0
"Delivery","Returns",0
"Website","Returns",1
"Display","Returns",0
"Fashion","Returns",0
"Dillard.s","Returns",0
"Kohl.s","Returns",0
"Register","Returns",0
"Time","Returns",0
"Deal","Returns",1
"Quality","Returns",0
"Clothing","Returns",1
"Clean","Returns",0
"Cosmetics","Returns",0
"Price","Returns",0
"Women","Returns",0
"Men","Returns",0
"Bedding","Returns",0
