"word","stars","counts"
"Management",1,17
"Jewelry",1,27
"Macy.s.Card",1,16
"Returns",1,9
"Location",1,10
"Shoes",1,31
"Customer.Service",1,44
"Associate",1,42
"Purse",1,2
"Delivery",1,13
"Website",1,14
"Display",1,4
"Fashion",1,6
"Dillard.s",1,5
"Kohl.s",1,0
"Register",1,9
"Time",1,44
"Deal",1,48
"Quality",1,1
"Clothing",1,21
"Clean",1,6
"Cosmetics",1,9
"Price",1,0
"Women",1,12
"Men",1,11
"Bedding",1,0
"Wedding",1,4
"Mattress",1,1
"Bathroom",1,6
"Lamps",1,0
"Watches",1,12
"Furniture",1,15
"Management",2,14
"Jewelry",2,25
"Macy.s.Card",2,13
"Returns",2,8
"Location",2,4
"Shoes",2,19
"Customer.Service",2,14
"Associate",2,19
"Purse",2,0
"Delivery",2,0
"Website",2,4
"Display",2,1
"Fashion",2,5
"Dillard.s",2,4
"Kohl.s",2,0
"Register",2,6
"Time",2,36
"Deal",2,36
"Quality",2,3
"Clothing",2,34
"Clean",2,1
"Cosmetics",2,11
"Price",2,8
"Women",2,9
"Men",2,9
"Bedding",2,0
"Wedding",2,3
"Mattress",2,0
"Bathroom",2,0
"Lamps",2,1
"Watches",2,4
"Furniture",2,5
"Management",3,6
"Jewelry",3,9
"Macy.s.Card",3,15
"Returns",3,3
"Location",3,21
"Shoes",3,19
"Customer.Service",3,15
"Associate",3,31
"Purse",3,2
"Delivery",3,0
"Website",3,5
"Display",3,5
"Fashion",3,12
"Dillard.s",3,4
"Kohl.s",3,0
"Register",3,4
"Time",3,23
"Deal",3,76
"Quality",3,5
"Clothing",3,15
"Clean",3,13
"Cosmetics",3,12
"Price",3,7
"Women",3,13
"Men",3,17
"Bedding",3,11
"Wedding",3,2
"Mattress",3,2
"Bathroom",3,1
"Lamps",3,0
"Watches",3,6
"Furniture",3,4
"Management",4,2
"Jewelry",4,9
"Macy.s.Card",4,20
"Returns",4,3
"Location",4,32
"Shoes",4,38
"Customer.Service",4,35
"Associate",4,20
"Purse",4,3
"Delivery",4,2
"Website",4,2
"Display",4,1
"Fashion",4,13
"Dillard.s",4,2
"Kohl.s",4,3
"Register",4,8
"Time",4,31
"Deal",4,135
"Quality",4,16
"Clothing",4,42
"Clean",4,6
"Cosmetics",4,10
"Price",4,23
"Women",4,13
"Men",4,18
"Bedding",4,8
"Wedding",4,4
"Mattress",4,0
"Bathroom",4,1
"Lamps",4,2
"Watches",4,6
"Furniture",4,23
"Management",5,5
"Jewelry",5,9
"Macy.s.Card",5,6
"Returns",5,2
"Location",5,12
"Shoes",5,46
"Customer.Service",5,30
"Associate",5,16
"Purse",5,5
"Delivery",5,0
"Website",5,3
"Display",5,0
"Fashion",5,12
"Dillard.s",5,1
"Kohl.s",5,0
"Register",5,2
"Time",5,20
"Deal",5,73
"Quality",5,3
"Clothing",5,10
"Clean",5,10
"Cosmetics",5,8
"Price",5,2
"Women",5,8
"Men",5,14
"Bedding",5,4
"Wedding",5,5
"Mattress",5,0
"Bathroom",5,0
"Lamps",5,0
"Watches",5,8
"Furniture",5,2
