"business_id","date","review_id","stars","type","user_id","votes_cool","votes_funny","votes_useful","name","categories","city","state","industry","sentances","totalSentBING","meanSent","negCount","posCount","percent"
"_-PU0gOesYm38B1FZY4SLg","2011-04-17","Vv52GFuDM96OmPWG4Mk8zw",4,"review","9fTTesCwn9EO-d82ODJAnw",0,0,2,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",10,3,0.3,1,3,0.75
"_-PU0gOesYm38B1FZY4SLg","2011-09-11","PMiGJpY7NqPtPiYnok04mA",4,"review","VqSCQCva71Q-ZVcMsYfQuw",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",2,-1,-0.5,1,0,0
"_-PU0gOesYm38B1FZY4SLg","2011-11-11","GzTop4E1nOlpoEzjcYaSgA",3,"review","32_9e5jRUayEINgoRARaTQ",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",2,2,1,0,2,0
"_-PU0gOesYm38B1FZY4SLg","2011-11-23","5-V6xjJm3PCpoaogCwSaXA",4,"review","uYecHRyGu6zbLP5NRnNFyA",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",5,0,0,1,1,0.5
"_-PU0gOesYm38B1FZY4SLg","2012-02-07","Le0H7IhzHLfq2hKKptyHgw",4,"review","PV5voYSD43Cn_3gHmxG7DA",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",13,-3,-0.230769230769231,5,3,0.375
"_-PU0gOesYm38B1FZY4SLg","2012-03-26","PFXLz_XxglSO8j3PfwGb4w",3,"review","3G_D5rqbD21Kw1UIMflB4w",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",3,1,0.333333333333333,0,1,0
"_-PU0gOesYm38B1FZY4SLg","2012-07-02","oI74mS54WAcsy3kUXdmCxA",5,"review","CTHe-MHmoiBOn4YvlBazKQ",0,1,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",2,3,1.5,0,1,1
"_-PU0gOesYm38B1FZY4SLg","2012-07-11","l-MUJyCF79DU91uba4lflw",3,"review","uZbTb-u-GVjTa2gtQfry5g",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",1,1,1,0,1,0
"_-PU0gOesYm38B1FZY4SLg","2012-10-24","w4pP3AK00pUttq52CvaqrQ",3,"review","ipwZbLZ70LF7q1K7dcBCZQ",1,0,2,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",9,1,0.111111111111111,2,2,0.5
"_-PU0gOesYm38B1FZY4SLg","2013-03-02","n7tQcPWkIQV_ufE0GiCUeA",4,"review","0uA_TVsj7QkZcRrz1lfKsA",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",1,2,2,0,1,1
"_-PU0gOesYm38B1FZY4SLg","2013-10-03","fvpFM6akrORN0lhcvoJ3BQ",3,"review","8pX0LX37TTnyhLtB_oPIcw",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",3,1,0.333333333333333,0,1,0
"_-PU0gOesYm38B1FZY4SLg","2013-11-18","g-z9nIv3ajDgbTE0Gk_uIQ",4,"review","B5LOrNT4RdtJ-kFEXs7qSg",1,1,1,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",4,5,1.25,0,1,1
"_-PU0gOesYm38B1FZY4SLg","2014-06-03","XTYExM-aWSkbLxG4nuhRwg",5,"review","6DuBPBgCN6YMowFwrp_P5g",1,1,1,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",3,2,0.666666666666667,0,1,1
"_-PU0gOesYm38B1FZY4SLg","2014-08-18","V_mzQlpkreSUROv1YdfzNw",4,"review","4Rv7m16FeA0U7cqaX8fPzg",0,0,0,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",2,5,2.5,0,2,1
"_-PU0gOesYm38B1FZY4SLg","2014-10-09","UMYLb_oaBOvjhmjcxTMRyQ",1,"review","2vScY5Bah2V-pVUTnS-dEQ",0,0,1,"Starbucks","Food,Coffee & Tea","Las Vegas","NV","Coffee",3,-1,-0.333333333333333,1,0,1
"_6FcnmxrlrbdF3qPBVSD8w","2012-12-28","x9p018cJamAqdHI-92RccA",4,"review","n2gt12MBSqD3AxUwh8efNQ",0,0,0,"Starbucks","Food,Coffee & Tea","Surprise","AZ","Coffee",1,1,1,0,1,1
"_6FcnmxrlrbdF3qPBVSD8w","2014-08-24","_1gA5XVis9zNoEOu0TTRMw",5,"review","Fmu-2fO7oWYCaTbHKyL2eQ",0,0,0,"Starbucks","Food,Coffee & Tea","Surprise","AZ","Coffee",6,10,1.66666666666667,0,5,1
"_7lfqYwzjAqWV6fUCWXP_Q","2012-06-12","LPDJ28_Sgknfj8mjSPfkrQ",5,"review","w3m8sjw9gmOkOHR39FiLvg",0,0,0,"Caribou Coffee","Food,Coffee & Tea","Pittsburgh","PA","Coffee",2,4,2,0,2,1
"_7lfqYwzjAqWV6fUCWXP_Q","2012-07-31","Ebm4EBCKq_DjHjo8Pox0Ew",5,"review","JLS56V5lhErpFUjZ8N8VrA",0,0,0,"Caribou Coffee","Food,Coffee & Tea","Pittsburgh","PA","Coffee",2,3,1.5,0,2,1
"_7lfqYwzjAqWV6fUCWXP_Q","2013-04-15","LCexY9N6m3P8oiGjCIyVEg",5,"review","x1tqIO9G1RX3qd6Y4TsHXg",0,0,0,"Caribou Coffee","Food,Coffee & Tea","Pittsburgh","PA","Coffee",8,8,1,0,6,1
"_7lfqYwzjAqWV6fUCWXP_Q","2013-09-08","0OcxEz4ct5Y1Jk0P82SeUw",5,"review","7fyOH8mYUGQIEwebMYUI6w",0,0,0,"Caribou Coffee","Food,Coffee & Tea","Pittsburgh","PA","Coffee",4,5,1.25,0,3,1
"_7lfqYwzjAqWV6fUCWXP_Q","2013-09-15","md1uIW2Jwfr5sg-M_CK0Ig",2,"review","UHS0jhmjHOcTf8BBFvm5cQ",0,0,0,"Caribou Coffee","Food,Coffee & Tea","Pittsburgh","PA","Coffee",9,0,0,2,3,0.4
"_9JDgUdXbCn1Vx-nj49VJg","2008-10-14","JeoQ3wOGvsrbyon_F9Ry0Q",5,"review","mjP_3XwUXdptvOpQd0OjBw",1,0,1,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",1,1,1,0,1,1
"_9JDgUdXbCn1Vx-nj49VJg","2009-05-10","Sl-w5u_14I2RB9J8vmYAow",4,"review","zc7ozZNFChVFmilqIL9Qyg",0,0,1,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",7,8,1.14285714285714,1,5,0.833333333333333
"_9JDgUdXbCn1Vx-nj49VJg","2009-12-25","FpRU0pmr4HU8jGe_8YRCAA",4,"review","Cg4CUfihhK4mXKo1RYhVow",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",2,1,0.5,0,1,1
"_9JDgUdXbCn1Vx-nj49VJg","2010-09-11","_OIemezvmWM6BE1H2n2juw",5,"review","ZmIgP4U4Ht9CYmNX0_zP6w",1,1,1,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",16,10,0.625,1,8,0.888888888888889
"_9JDgUdXbCn1Vx-nj49VJg","2010-10-18","Glkqt6Amka4QsZeD92UUmg",5,"review","nf0bXe4nGK4nWpEWLNhH0Q",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",3,5,1.66666666666667,0,3,1
"_9JDgUdXbCn1Vx-nj49VJg","2011-01-03","YLQ51mgK9mPU8v9Cya72TQ",5,"review","HWi8ntFMy81BVjAsgAwbrQ",1,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",4,8,2,0,4,1
"_9JDgUdXbCn1Vx-nj49VJg","2011-04-11","tnN1KXN9cZhEm6xvRPVT6w",4,"review","Lp2G664ePG-JFxwXZQtm8Q",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",2,3,1.5,0,2,1
"_9JDgUdXbCn1Vx-nj49VJg","2011-09-25","foKCr1yDbaqd8ENmmQjwbQ",5,"review","5eOjREaDIXXiOOdjuFSEhw",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",4,6,1.5,0,4,1
"_9JDgUdXbCn1Vx-nj49VJg","2012-07-02","GFJ9bjGwth-T7KXgPwR_gw",3,"review","pB6-p_DMF0vLzLkHnO9MeQ",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",1,2,2,0,1,0
"_9JDgUdXbCn1Vx-nj49VJg","2012-08-04","L01NbVcSrPH0aOnOwS_-WQ",4,"review","90Yv6uLku3-yCK7ei9z3dQ",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",2,3,1.5,0,2,1
"_9JDgUdXbCn1Vx-nj49VJg","2013-01-30","E9uIx14eOGDkJH8sppTGTA",5,"review","LK1POYLdvIBWzbqDxaxKRg",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",1,2,2,0,1,1
"_9JDgUdXbCn1Vx-nj49VJg","2013-03-11","OZIxtS_x1OJAHfKQJcHJlQ",4,"review","wVSGZN8d3ao4ad97kEDzYg",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",7,2,0.285714285714286,2,2,0.5
"_9JDgUdXbCn1Vx-nj49VJg","2013-04-14","205k7Ks7IrYy7tbQ5mzX_w",4,"review","A99dyhEqcd_yXKPfBWeZHA",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",3,0,0,1,1,0.5
"_9JDgUdXbCn1Vx-nj49VJg","2013-06-05","iA_noACnu-C5jc2oAY-1xw",4,"review","Snr-iImWYYD_a_7Iar3E0w",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",5,1,0.2,1,2,0.666666666666667
"_9JDgUdXbCn1Vx-nj49VJg","2013-06-29","nlOm7lOrl5mUNOkhhLUZPw",3,"review","hdZ3rlgFXctCOUhzoOebvA",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",2,2,1,0,2,0
"_9JDgUdXbCn1Vx-nj49VJg","2013-08-08","d2aSkroO8dOorzSRJh4Jzg",4,"review","1jyNMw5sbi9Qkdd-WmI5Nw",1,1,2,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",2,4,2,0,2,1
"_9JDgUdXbCn1Vx-nj49VJg","2013-11-18","AbP3Tyfa-ptF2AFGjvRPHA",5,"review","iPBX4VQXiVDi_8MnI-AVXA",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",2,2,1,0,2,1
"_9JDgUdXbCn1Vx-nj49VJg","2014-02-14","XLokLvGGBI7pVZuUrCx-Bg",4,"review","Mb0psF4WQF7gZSuZafVr-g",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",4,5,1.25,0,3,1
"_9JDgUdXbCn1Vx-nj49VJg","2014-04-13","CTaAb-t3PXS0iFST0X7Tfg",5,"review","89y8JPH_QMgqUMZHqLA0zA",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",6,10,1.66666666666667,0,6,1
"_9JDgUdXbCn1Vx-nj49VJg","2014-04-18","_rGXPwcsJKKvBLoT1YcjYQ",4,"review","EN53yw7fAURpUH8Qp2LdiA",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",3,1,0.333333333333333,1,1,0.5
"_9JDgUdXbCn1Vx-nj49VJg","2014-08-15","MxXXE8SpHnO4I9GXq0O94g",4,"review","ZCkqYZQL3X1E6RmkK8epSQ",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",4,7,1.75,0,4,1
"_9JDgUdXbCn1Vx-nj49VJg","2014-09-26","ig_ycblhnGj5p6GOqbIxfQ",3,"review","TyzoHZ3Fo80gP2ezEzp2zg",0,0,1,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",3,3,1,0,3,0
"_9JDgUdXbCn1Vx-nj49VJg","2014-09-26","_W31jB0sZb-zquHebm9fFA",5,"review","6XJfj4qjQlxjT-nPw4MSUQ",0,0,0,"Starbucks","Food,Coffee & Tea","Chandler","AZ","Coffee",3,4,1.33333333333333,0,2,1
"_doh-sAAPhUy7SvOkK5_lA","2010-10-29","UpZwC6QUc_tf25bcT7x5ug",3,"review","-hwN2juKYn-KTxa2WBYLnw",0,0,1,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",15,0,0,6,5,0.545454545454545
"_doh-sAAPhUy7SvOkK5_lA","2011-08-21","qPXf5A3RPPxOLkAkjObgnw",3,"review","6UEOHc_cghGlLY-66V5yBw",0,0,0,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",7,2,0.285714285714286,1,2,0.333333333333333
"_doh-sAAPhUy7SvOkK5_lA","2011-11-01","QY4_4Q9iP31QpfLBGyz8SQ",2,"review","NA4P4xX85axx0FMKQT-sEQ",0,0,1,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",16,12,0.75,0,9,0
"_doh-sAAPhUy7SvOkK5_lA","2011-11-02","uMmqcQXTnS4yCU7L5IYkWg",3,"review","NA4P4xX85axx0FMKQT-sEQ",0,0,0,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",5,3,0.6,0,2,0
"_doh-sAAPhUy7SvOkK5_lA","2011-12-17","Phu_HoWM8jlMFoU_lBXxKw",4,"review","cBBarVpwP94MsS63W4KKZg",0,0,0,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",3,5,1.66666666666667,0,2,1
"_doh-sAAPhUy7SvOkK5_lA","2012-07-29","tS39izvGl8sHTmcXywsS9Q",4,"review","sgkRdA1a1Vymdp83Qbikig",0,0,1,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",5,4,0.8,0,3,1
"_doh-sAAPhUy7SvOkK5_lA","2012-08-12","ud1Cyhsm5gLA0SiT4ehlLQ",5,"review","3f_wtdw_T_9MWMTcgU7zVg",0,0,0,"Starbucks","Food,Coffee & Tea","Fitchburg","WI","Coffee",2,2,1,0,1,1
