"business_id","date","review_id","stars","text","type","user_id","votes_cool","votes_funny","votes_useful","name","categories","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"e_kbfiEZ87L-ZryMZxvJkA","2012-01-10","k72GjaIH1IJvbXT3sneTKQ",5,"Right around the corner from my house. It's a little independent coffee shop that serves up piping hot lattes and fresh brewed coffee. 
The woman the runs the place is the sweetest thing, she gave my dog cookies and even recommended a good groomer for her. 
She serves breakfast but I've never eaten there.
There is lots of space to sit and read the paper and there is free wifi. 
Great little place. I'm happy to support this small, local businesses.","review","MzvIbg2bEeyeR9-dRF_Jzg",0,0,0,"Coffee Lady","Food,Coffee & Tea",1,2,0,0,2,0,1,2,1,3
"BQjGE1Z3nk253XzIZqt8Gg","2009-08-21","KS859EJPYTi4QN9co24New",4,"Everytime I go to LV, this is a place that I always want to visit! The chocolate fountain is always amusing to watch..  Their desserts are great!! I love the variety and uniqueness.  I've tried the rose macaroon, decorated with a sugar coated rose petal on top.  Its filled with a vanilla like cream, and the macaroon is infused with a rose flavor.  
Their choco-banana and other chocolate desserts are all rich, smooth, and tasty!! 

Not to mention, their freshly baked ham & cheese croissants melt in your mouth.  Full of buttery, flaky goodness!  Yummm!!  We didn't realize how good they were, and wished we had bought two!  

The almond croissant was huge, and also good.  Topped with plenty of almonds, and filled with tons of almond paste.

I would have loved to try the crepes, but the wait was 30 minutes long!! Crazy!!","review","gGs8yugcnor9wFHOt45sIw",0,0,0,"Jean Philippe Patisserie","Food,Desserts,Coffee & Tea,Cafes,Restaurants",1,10,0,2,8,1,5,6,2,14
"FzeYyIca3Bw8mS4MeUUAGw","2011-10-24","Bq3t5f5JCgyKlSSt8YAIQg",4,"Not a fan of italian pasta dishes, but i sure love their sandwiches!!

This italian coffee/gelato bar/shop is just around the corner near Cosmo's Marquee. It's easily passed by since it just a tiny store between restaurants and shops however. This place is IT!

I went here for a quick dinner prior to partying @ the Marquee. Service is decent, waiting time is not even there. Staff is nice, place is petite, nothing fancy, but then the food is delicious. Their sandwiches, as simple as they get are awesomely mouth watering. Don't have the appetite for ice cream but they're gelato looks yummy though i haven't tried it. 

Will come back here for a decent bang for your buck quick grub, if you don't wanna fall out of line to Marquee!!!!","review","4eHzIeDLJNuQMT87wTMXcA",1,1,1,"Va Bene Caffè","Food,Desserts,Coffee & Tea,Cafes,Restaurants",1,4,1,2,5,2,4,1,3,10
"0G-zqtH6hRTu4uxRwA-Gpg","2009-07-09","eAD8sxmjNkG2SYGsBa3hxw",5,"After our team yoga class we had our staff meeting at Drip this week. Gina is totally awesome, and they were super accomodating. Matt at Sutra Midtown Yoga (next door to Drip) let them know we'd be over afterwards and they had tables and chairs pulled together in the semi private space in the north part of their place.

Gina is dynamic and attentive, and the food was was especially enjoyable. Matt had talked up the NY egg sandwich and it didn't disappoint- I had mine with an over hard egg, Boar's Head bacon and tomato. The home fries were some of the best I've had. If you're in the neighborhood and looking to support a cool local place (and you should be), stop in and check out Drip!","review","U8ayzBXrBzgjdrCYOzwNOg",0,0,1,"Drip Coffee Lounge","Food,Coffee & Tea",1,1,1,0,1,1,1,3,1,3
"yzInxReAkf7r0aRbwj02Yw","2011-07-23","T-yRH-kp6Ka_m1SEwza3DQ",5,"Prices are about on par with other small local cafes I've been to (generally speaking, not necessarily in the area), and they have daily specials which are reasonably priced.  I originally tried this place out because I got some coupons on the back of my Schnucks receipt (medium espresso or chai drink for $1.85/$2 off a sandwich or salad).

I've become a slave to Starbucks over the past few years because there simply weren't any good local cafes where I lived (unless I felt like driving 30 miles away).  Cafe Kopi is exactly what I want from a cafe, and I'm happy to finally have a local coffee shop that is actually worth supporting.

Their coffee drinks are tasty, and their chai tastes like it's freshly brewed (though I can't be sure if they actually use a mix...I'll probably ask because I'm really curious).  I tried the Matty Pooh Pita today with honey chipotle pasta salad on the side and it was delicious (also, the plating was beautiful!).  I thought the pasta salad might be weird, but it sounded interesting and turned out to be pretty awesome.  The pita was served open-faced, with tons of hummus and sliced tomato, cucumber, and lettuce.  The hummus to veggie ratio was a little lopsided--I would have appreciated more veggies--but nonetheless it was a damn good meal.  Plus there were a couple tasty pieces of fruit on the side as garnish, which I happily devoured.

Food and drink aside, Cafe Kopi is just a great place to hang out.  My boyfriend and I like to play games (Scrabble, Sumoku, UNO...etc) and there is PLENTY of seating with tables of various sizes.  The atmosphere is cozy and it's just a lovely place to spend some time.

Music selection is kind of weird (whiny sounding hipster music?  not sure how to describe it) but it's not too loud, so it's easy to tune out.

Basically: I really like this place.  If I didn't have to pay for metered parking mon-fri I would probably be here everyday.","review","kltu5MyodHXondt_qvdAHw",0,0,1,"Cafe Kopi","Food,Coffee & Tea",2,10,4,1,13,3,4,10,6,21
"JcKfTnqX3xO3FxvDMo-Z7w","2005-10-16","h9NZTK1WZqqnZqt92JXnuQ",4,"Three words: SIN FREE FOOD.  Deli and grocery, plus they cater.  I review from the perspective of a meat-eating dessertaholic, although I enjoy great vegetarian food and try to limit meat to a couple meals a week.  They do sell some meat, but most sandwiches in the deli are great and meatless.  Wonderful, beautiful, delicious, locally-grown organic produce.  They also carry eco-friendly cleaning products.  It's like a tiny Whole Foods, only better.","review","HANb8-8InWnju-XzBQQSBw",2,0,1,"Strawberry Fields","Food,Health Markets,Grocery,Coffee & Tea,Specialty Food",2,2,1,1,7,1,1,5,2,10
"Gq7CbG8Gw4lGixXKIACB5g","2010-09-01","6R83JKA1KZzAt1X1ax0SMQ",5,"This is the best coffee & tea shop in town. The espresso stands on its own, but you must try the honey shot. You will dream about it! 

The iced teas are great and they have a great variety, which is hard to come by these days. 

What I love is that they are always experimenting with different drinks and turning coffee & tea not into a beverage, but a liquid art.

Overall, this is a great place if you love coffee and/or tea and the  owner and barista's will make you feel at home.","review","DvD2kL3UiPM7iDQ5BC9ViQ",0,2,1,"Coffee & Tea Express","Food,Coffee & Tea,Sandwiches,Restaurants",1,1,0,1,3,2,2,0,1,5
"u6QHP2ogsqnQHnhwa6Q03Q","2010-12-11","blMBUZtlXiCuLXKq7s-yjA",5,"The best anywhere!  This place has atmosphere, great people, yummy coffee and tasty goods.","review","lMkFtO7mQd-QDd5epMV81A",0,0,0,"Java Cat Coffee","Food,Gelato,Coffee & Tea,Cafes,Restaurants",0,0,0,0,0,0,0,0,0,2
"lHZmz_QUoARjiz520BeKMg","2012-02-22","bZYZz8F8dLYURj_tTZ1j_w",4,"Good Toddy brewed iced coffee serving Cartel beans out of Tempe, AZ. Hipster vibe, laid back, slightly grungy. Seemed out of place in Phoenix, but every major city deserves good coffee, right?","review","kjCJx08BPoy4EtNmL_0-fw",0,0,1,"The Coffee Conspiracy","Food,Sandwiches,Coffee & Tea,Breakfast & Brunch,Restaurants",0,2,0,0,2,0,2,2,1,4
"lblNkTnCgCTja1Y85M75xw","2014-08-10","QDihrE6i9UyuA_147G_NAA",5,"Good music, excellent decor, and best coffee in area.  Cartel is locally roasted and they brew them well.  You can taste the quality. Has a small breakfast and lunch menu with good choices using high quality ingredients.  Very good choices of beer and a full bar.","review","47zERAXIAs4LDWM_OE7gxw",0,0,1,"Sip Coffee & Beer House","Food,Coffee & Tea,Bars,Nightlife",0,3,0,0,6,1,3,4,2,8
