"","counts","tfidf","positivity","negativity","sentiment","words"
"1",1,0.0467211578334839,0,0.00175131348511384,0,"aback"
"2",1,0.11032948114895,0.00175131348511384,0,Inf,"abandoned"
"3",1,0.436064139779183,0.00175131348511384,0,Inf,"abd"
"4",2,0.352677375753311,0.00350262697022767,0,Inf,"abilities"
"5",3,0.420851857339929,0.00350262697022767,0.00175131348511384,2,"ability"
"6",61,3.83102813429286,0.0437828371278459,0.0630472854640981,0.694444444444444,"able"
"7",1,0.0872128279558366,0,0.00175131348511384,0,"aboutthink"
"8",1,0.0271731363067147,0,0.00175131348511384,0,"abovementioned"
"9",1,0.0683384099653944,0.00175131348511384,0,Inf,"abreast"
"10",1,0.0995363797322048,0,0.00175131348511384,0,"abroad"
"11",6,1.22839710717411,0.00350262697022767,0.00700525394045534,0.5,"absolute"
"12",18,1.84400303022039,0.00350262697022767,0.0280210157618214,0.125,"absolutely"
"13",1,0.0658801937795888,0,0.00175131348511384,0,"absurd"
"14",1,0.0446699850505505,0,0.00175131348511384,0,"accept"
"15",7,0.497587511007724,0,0.0122591943957968,0,"acceptable"
"16",2,0.144521152272179,0,0.00350262697022767,0,"accepted"
"17",1,0.0236014096272238,0,0.00175131348511384,0,"accepting"
"18",5,0.334545278720015,0.00175131348511384,0.00700525394045534,0.25,"access"
"19",2,0.0570551210926034,0,0.00350262697022767,0,"accessaries"
"20",44,3.67805303059625,0.0297723292469352,0.0472854640980736,0.62962962962963,"accessories"
"21",6,0.722425891314418,0.00175131348511384,0.00875656742556918,0.2,"accessory"
"22",1,0.352205651360109,0,0.00175131348511384,0,"accident"
"23",1,0.166497217006597,0,0.00175131348511384,0,"accidental"
"24",2,0.165674171836973,0.00350262697022767,0,Inf,"accommodate"
"25",1,0.132715172976273,0.00175131348511384,0,Inf,"accommodating"
"26",2,0.32370424346678,0,0.00350262697022767,0,"accomplished"
"27",1,0.0375301103908313,0,0.00175131348511384,0,"accord"
