"words","topics","probability","frequency","saliency","lift","phi","relevance"
"....",1,9.23336604022476e-16,7,0.00124400046888086,6.73385378959044e-13,9.23336604022476e-16,-31.3224982109051
"....",2,0.0042352751418777,7,0.00124400046888086,3.08876778412622,0.0042352751418777,-2.1682673742042
"....",3,0.000499355908897421,7,0.00124400046888086,0.36417809765521,0.000499355908897421,-4.30615186194904
"access",1,6.39706716754052e-10,7,0.00131359995221842,4.70409868586212e-07,6.39706716754052e-10,-17.8698363805611
"access",2,3.988050624744e-10,7,0.00131359995221842,2.93262259277208e-07,3.988050624744e-10,-18.3423734645362
"access",3,0.00357286887290444,7,0.00131359995221842,2.62731769568855,0.00357286887290444,-2.33421148093687
"accounts",1,1.53668906043264e-08,70,0.0131359554061066,1.13000799117534e-06,1.53668906043264e-08,-15.8421682280984
"accounts",2,2.84716125809883e-09,70,0.0131359554061066,2.0936668690221e-07,2.84716125809883e-09,-17.528061014173
"accounts",3,0.0357286813938762,70,0.0131359554061066,2.62731716707029,0.0357286813938762,-1.1829191376912
"acct",1,3.95073771577941e-14,6,0.00112594816567491,3.38938185794989e-11,3.95073771577941e-14,-27.4850387189548
"acct",2,3.49718154946048e-11,6,0.00112594816567491,3.00027097479945e-08,3.49718154946048e-11,-20.6992283924287
"acct",3,0.0030624597555752,6,0.00112594816567491,2.62731830938579,0.0030624597555752,-2.41128658623579
"address",1,4.95124885697553e-15,7,0.00131360648828346,3.64091271598089e-12,4.95124885697553e-15,-29.6389616376877
"address",2,3.83658244651015e-20,7,0.00131360648828346,2.82124009899608e-17,3.83658244651015e-20,-41.4069449593188
"address",3,0.00357286974448382,7,0.00131360648828346,2.62731833139584,0.00357286974448382,-2.33421123798469
"amount",1,0.00416560105588207,10,0.000958957725028846,2.1716020931314,0.00416560105588207,-2.35271475786217
"amount",2,3.95180954378458e-19,10,0.000958957725028846,2.06014876648384e-16,3.95180954378458e-19,-39.2467632357479
"amount",3,0.0013131401022304,10,0.000958957725028846,0.68456334543887,0.0013131401022304,-3.50715404066969
"answer",1,4.03106806757257e-20,6,0.00112594627781272,3.45829815843977e-17,4.03106806757257e-20,-41.2804202322087
"answer",2,3.36682075032749e-10,6,0.00112594627781272,2.88843299231755e-07,3.36682075032749e-10,-18.4346317707313
"answer",3,0.00306245953666182,6,0.00112594627781272,2.62731811976361,0.00306245953666182,-2.41128665806386
"anyone",1,3.39311460555437e-07,15,0.00185333839367436,0.000116338339662019,3.39311460555437e-07,-11.9776776398408
"anyone",2,0.000952209215953296,15,0.00185333839367436,0.326480098884782,0.000952209215953296,-4.03805603383192
"anyone",3,0.00696482812563354,15,0.00185333839367436,2.38800227626014,0.00696482812563354,-2.04821260009122
"anything",1,1.22946988544561e-08,32,0.00364574682475843,1.97549592469037e-06,1.22946988544561e-08,-15.6743943724676
"anything",2,0.00260675444409874,32,0.00364574682475843,0.41884985081348,0.00260675444409874,-3.40994605700848
"anything",3,0.0144414015361827,32,0.00364574682475843,2.32042526777354,0.0144414015361827,-1.69795280849014
"application",1,3.07391856849771e-36,7,0.00131360648833662,2.26041338806173e-33,3.07391856849771e-36,-78.4699352752995
"application",2,1.25127774662704e-45,7,0.00131360648833662,9.20130090512377e-43,1.25127774662704e-45,-100.091989040079
"application",3,0.00357286974448832,7,0.00131360648833662,2.6273183313991,0.00357286974448832,-2.33421123798344
"area",1,0.00177133046116136,30,0.00441237796998384,0.302053861260191,0.00177133046116136,-3.76658713537716
"area",2,0.0174717107172876,30,0.00441237796998384,2.97934112278388,0.0174717107172876,-1.47773503007715
"area",3,0.00102116057834136,30,0.00441237796998384,0.174132101500963,0.00102116057834136,-4.31737827020004
"arizona",1,4.78312637430971e-15,12,0.00146035842614836,2.04986880302764e-12,4.78312637430971e-15,-29.9434636661767
"arizona",2,0.000801737780231884,12,0.00146035842614836,0.343594782009738,0.000801737780231884,-4.09851061804946
"arizona",3,0.00554310325075352,12,0.00146035842614836,2.37556642590707,0.00554310325075352,-2.16498243865742
"assistance",1,5.74362212394856e-05,6,0.00101964765027127,0.0492894508870766,5.74362212394856e-05,-6.38744031019439
"assistance",2,3.49315929365838e-13,6,0.00101964765027127,2.99768856185031e-10,3.49315929365838e-13,-25.3054045290419
"assistance",3,0.0030101891990096,6,0.00101964765027127,2.58322308612099,0.0030101891990096,-2.42835723396836
"associates",1,1.54701244443285e-25,6,0.00143313470330758,1.31468109451224e-22,1.54701244443285e-25,-53.755789816193
"associates",2,0.00416215076312333,6,0.00143313470330758,3.53707621453168,0.00416215076312333,-2.10921143508292
