"attributes_Accepts.Credit.Cards","attributes_Accepts.Insurance","attributes_Ages.Allowed","attributes_Alcohol","attributes_Ambience","attributes_Attire","attributes_BYOB","attributes_BYOB.Corkage","attributes_By.Appointment.Only","attributes_Caters","attributes_Coat.Check","attributes_Corkage","attributes_Delivery","attributes_Dietary.Restrictions","attributes_Dogs.Allowed","attributes_Drive.Thru","attributes_Good.For","attributes_Good.For.Dancing","attributes_Good.For.Groups","attributes_Good.For.Kids","attributes_Good.for.Kids","attributes_Hair.Types.Specialized.In","attributes_Happy.Hour","attributes_Has.TV","attributes_Music","attributes_Noise.Level","attributes_Open.24.Hours","attributes_Order.at.Counter","attributes_Outdoor.Seating","attributes_Parking","attributes_Payment.Types","attributes_Price.Range","attributes_Smoking","attributes_Take.out","attributes_Takes.Reservations","attributes_Waiter.Service","attributes_Wheelchair.Accessible","attributes_Wi.Fi","business_id","categories","city","full_address","hours_Friday","hours_Monday","hours_Saturday","hours_Sunday","hours_Thursday","hours_Tuesday","hours_Wednesday","latitude","longitude","name","neighborhoods","open","review_count","stars","state","type"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","qyaHAokceoTnzYEwogZwMA","Banks & Credit Unions,Financial Services","Charlotte","508 S Kings Dr
Myers Park
Charlotte, NC 28204","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'13:00', u'open': u'09:00'}","","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}",35.210276,-80.836392,"Bank of America","Myers Park","False",3,3,"NC","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","fNOig3UG2jOdlDoWNwHYFw","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Charlotte","6200 Fairview Rd
South Park
Charlotte, NC 28210","","","","","","","",35.150077,-80.836408,"Bank of America","South Park","True",6,3,"NC","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","-TTcDHwNAIeJmCyWN_AtBA","Banks & Credit Unions,Financial Services","Charlotte","6425 Albemarle Rd
Eastland
Charlotte, NC 28212","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'13:00', u'open': u'09:00'}","","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}",35.2032289,-80.7350408,"Bank of America","Eastland","True",4,2.5,"NC","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","NNGp3u2-w7P964TuuvJntg","Banks & Credit Unions,Financial Services","Charlotte","8551 N Tryon St
University City
Charlotte, NC 28262","","","","","","","",35.305699,-80.750868,"Bank of America","University City","True",5,2,"NC","business"
"True","","","none","{u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}","casual","","","","True","","","False","","","False","{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}","","False","","True","","","False","","average","","","False","","",1,"","True","False","False","True","","AzW6M1E6KcrTDpQ0DkRt9A","Fast Food,Restaurants","Charlotte","101 S Tryon St
Uptown
Charlotte, NC 28280","","","","","","","",35.226366,-80.842911,"Chick-fil-A Bank of America Plaza","Uptown","True",22,4.5,"NC","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","I3AF57q9EyNALE9rA37o6A","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Phoenix","201 E Washington St Fl 20
Phoenix, AZ 85004","","","","","","","",33.4482649,-112.0712571,"Bank of America","","True",3,1.5,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","XNUP4pbOL8oj34wWDPVu5A","Banks & Credit Unions,Financial Services","Phoenix","3030 N Central Ave Ste 1104
Phoenix, AZ 85012","","","","","","","",33.4820475,-112.07424,"Bank of America","","True",3,3.5,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","-Mi86BZenY9IROFUdVy8bA","Banks & Credit Unions,Financial Services","Phoenix","2902 N 44th St
Phoenix, AZ 85018","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'13:00', u'open': u'09:00'}","","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}","{u'close': u'17:00', u'open': u'09:00'}",33.480834,-111.987537,"Bank of America","","True",4,2.5,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","UmFnmIoLCRe1ywY0bzpRrQ","Banks & Credit Unions,Financial Services","Phoenix","7579 N 16th St
Phoenix, AZ 85020","","","","","","","",33.547101,-112.047115,"Bank of America","","True",7,2.5,"AZ","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","ejx-rekLkZ2RkNgSejf0pA","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Phoenix","605 E Bell Road
Phoenix, AZ 85022","","","","","","","",33.6401877,-112.0680623,"Bank of America","","True",5,2.5,"AZ","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","SN0fYS9Mozu5qkPAq7K8ZQ","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Phoenix","13008 N Tatum Boulevard
Phoenix, AZ 85032","","","","","","","",33.6045205,-111.9783384,"Bank of America","","True",4,3,"AZ","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","JJ-jDuXLBbAHJUPUszoPTQ","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Mesa","1201 S Alma School Road
Mesa, AZ 85210","","","","","","","",33.392118,-111.856333,"Bank of America","","True",4,3.5,"AZ","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","mod9XAJf0Cbj49759B2AUA","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Chandler","198 N Alma School Road
Chandler, AZ 85224","","","","","","","",33.3050349,-111.859637,"Bank of America","","True",4,2.5,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","Nqk7gBL627EH74XVpyPRfQ","Banks & Credit Unions,Financial Services","Chandler","3410 W Chandler Boulevard
Chandler, AZ 85226","","","","","","","",33.3057842,-111.8997226,"Bank of America","","True",8,3,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","aYmXYxN_jiWI9mc9wyLkQQ","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Gilbert","15 E Guadalupe Road
Suite 101
Gilbert, AZ 85234","","","","","","","",33.3642534,-111.7896906,"Bank of America","","True",3,2.5,"AZ","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","24500Pt1lFmpXgDkXKeEOA","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Chandler","3075 S Alma School Road
Chandler, AZ 85248","","","","","","","",33.261403,-111.857858,"Bank of America","","True",3,1.5,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","KH5R8TlcW1llOb1kko_FHw","Banks & Credit Unions,Financial Services","Scottsdale","6501 N Scottsdale Road
Scottsdale, AZ 85250","","","","","","","",33.531853,-111.9253012,"Bank of America","","True",3,2.5,"AZ","business"
"True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","rEOgvyGzAZjysWcbDXupcg","Banks & Credit Unions,Financial Services,Mortgage Brokers,Home Services,Real Estate","Tempe","1801 E Southern Ave
Tempe, AZ 85282","","","","","","","",33.392504,-111.908583,"Bank of America","","True",5,2.5,"AZ","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","QB-xKzvyfXgxbIx6rL9obA","Banks & Credit Unions,Financial Services","Henderson","2196 Olympic Ave
Henderson, NV 89014","","","","","","","",36.0728384,-115.0811853,"Wells Fargo Bank","","True",7,4,"NV","business"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","U0FZZh8AXPEelM3GBOKR_g","Banks & Credit Unions,Financial Services","North Las Vegas","2015 W Craig Rd, Ste A
North Las Vegas, NV 89032","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'15:00', u'open': u'09:00'}","","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'18:00', u'open': u'09:00'}","{u'close': u'18:00', u'open': u'09:00'}",36.239044,-115.171535,"Chase Bank","","True",4,3.5,"NV","business"
